id,aggregated_by,aggregate_name,year,users,app_opens,start_date,end_date
403,state,ladakh,2018,8784,0,2018-01-01,2018-03-31
404,state,ladakh,2018,12918,0,2018-04-01,2018-06-30
405,state,ladakh,2018,17749,0,2018-07-01,2018-09-30
406,state,ladakh,2018,23883,0,2018-10-01,2018-12-31
407,state,assam,2019,1259085,0,2019-01-01,2019-03-31
408,state,assam,2019,1500128,7350326,2019-04-01,2019-06-30
409,state,assam,2019,1731523,25393673,2019-07-01,2019-09-30
410,state,assam,2019,1941220,26599449,2019-10-01,2019-12-31
411,state,assam,2021,3358448,56752364,2021-01-01,2021-03-31
412,state,assam,2021,3617056,102003890,2021-04-01,2021-06-30
413,state,assam,2020,2185938,33097892,2020-01-01,2020-03-31
414,state,assam,2020,2550883,39304924,2020-04-01,2020-06-30
415,state,assam,2020,2830011,41875278,2020-07-01,2020-09-30
416,state,assam,2020,3106153,49321814,2020-10-01,2020-12-31
417,state,assam,2018,385237,0,2018-01-01,2018-03-31
418,state,assam,2018,571046,0,2018-04-01,2018-06-30
419,state,assam,2018,784802,0,2018-07-01,2018-09-30
420,state,assam,2018,1039221,0,2018-10-01,2018-12-31
421,state,meghalaya,2019,61487,0,2019-01-01,2019-03-31
422,state,meghalaya,2019,74746,395764,2019-04-01,2019-06-30
423,state,meghalaya,2019,87395,1387814,2019-07-01,2019-09-30
424,state,meghalaya,2019,100030,1490542,2019-10-01,2019-12-31
425,state,meghalaya,2021,190869,2939026,2021-01-01,2021-03-31
426,state,meghalaya,2021,205686,7290804,2021-04-01,2021-06-30
427,state,meghalaya,2020,113814,1716211,2020-01-01,2020-03-31
428,state,meghalaya,2020,136211,2205253,2020-04-01,2020-06-30
429,state,meghalaya,2020,157741,2384534,2020-07-01,2020-09-30
430,state,meghalaya,2020,176447,2745917,2020-10-01,2020-12-31
431,state,meghalaya,2018,18513,0,2018-01-01,2018-03-31
432,state,meghalaya,2018,26618,0,2018-04-01,2018-06-30
433,state,meghalaya,2018,37281,0,2018-07-01,2018-09-30
434,state,meghalaya,2018,49634,0,2018-10-01,2018-12-31
435,state,uttarakhand,2019,1224955,0,2019-01-01,2019-03-31
436,state,uttarakhand,2019,1414339,7454279,2019-04-01,2019-06-30
437,state,uttarakhand,2019,1585859,24660988,2019-07-01,2019-09-30
438,state,uttarakhand,2019,1752677,28853867,2019-10-01,2019-12-31
439,state,uttarakhand,2021,2802122,59282260,2021-01-01,2021-03-31
440,state,uttarakhand,2021,3004040,78380036,2021-04-01,2021-06-30
441,state,uttarakhand,2020,1943606,32631265,2020-01-01,2020-03-31
442,state,uttarakhand,2020,2148567,31074793,2020-04-01,2020-06-30
443,state,uttarakhand,2020,2365438,40377348,2020-07-01,2020-09-30
444,state,uttarakhand,2020,2596244,52564888,2020-10-01,2020-12-31
445,state,uttarakhand,2018,483043,0,2018-01-01,2018-03-31
446,state,uttarakhand,2018,649142,0,2018-04-01,2018-06-30
447,state,uttarakhand,2018,810612,0,2018-07-01,2018-09-30
448,state,uttarakhand,2018,1012103,0,2018-10-01,2018-12-31
449,state,puducherry,2019,133059,0,2019-01-01,2019-03-31
450,state,puducherry,2019,156458,661932,2019-04-01,2019-06-30
451,state,puducherry,2019,177868,2476922,2019-07-01,2019-09-30
452,state,puducherry,2019,204292,3263122,2019-10-01,2019-12-31
453,state,puducherry,2021,346279,7914507,2021-01-01,2021-03-31
454,state,puducherry,2021,369961,5178916,2021-04-01,2021-06-30
455,state,puducherry,2020,230908,3820943,2020-01-01,2020-03-31
456,state,puducherry,2020,255600,3057608,2020-04-01,2020-06-30
457,state,puducherry,2020,285173,4222159,2020-07-01,2020-09-30
458,state,puducherry,2020,319626,6377136,2020-10-01,2020-12-31
459,state,puducherry,2018,49318,0,2018-01-01,2018-03-31
460,state,puducherry,2018,65580,0,2018-04-01,2018-06-30
461,state,puducherry,2018,81546,0,2018-07-01,2018-09-30
462,state,puducherry,2018,109494,0,2018-10-01,2018-12-31
463,state,bihar,2019,5745117,0,2019-01-01,2019-03-31
464,state,bihar,2019,6589759,39607022,2019-04-01,2019-06-30
465,state,bihar,2019,7380265,126521298,2019-07-01,2019-09-30
466,state,bihar,2019,8342274,163998097,2019-10-01,2019-12-31
467,state,bihar,2021,13946288,355792608,2021-01-01,2021-03-31
468,state,bihar,2021,14972134,371198660,2021-04-01,2021-06-30
469,state,bihar,2020,9351234,183868505,2020-01-01,2020-03-31
470,state,bihar,2020,10603767,218435035,2020-04-01,2020-06-30
471,state,bihar,2020,11763213,266652644,2020-07-01,2020-09-30
472,state,bihar,2020,12889833,317056600,2020-10-01,2020-12-31
473,state,bihar,2018,2133804,0,2018-01-01,2018-03-31
474,state,bihar,2018,3005872,0,2018-04-01,2018-06-30
475,state,bihar,2018,3784535,0,2018-07-01,2018-09-30
476,state,bihar,2018,4776665,0,2018-10-01,2018-12-31
477,state,jharkhand,2019,2279329,0,2019-01-01,2019-03-31
478,state,jharkhand,2019,2604854,14929066,2019-04-01,2019-06-30
479,state,jharkhand,2019,2915511,55504460,2019-07-01,2019-09-30
480,state,jharkhand,2019,3281371,70181789,2019-10-01,2019-12-31
481,state,jharkhand,2021,5313049,141731331,2021-01-01,2021-03-31
482,state,jharkhand,2021,5701503,184234107,2021-04-01,2021-06-30
483,state,jharkhand,2020,3651393,74014713,2020-01-01,2020-03-31
484,state,jharkhand,2020,4061035,76339276,2020-04-01,2020-06-30
485,state,jharkhand,2020,4480027,99318784,2020-07-01,2020-09-30
486,state,jharkhand,2020,4917938,126310835,2020-10-01,2020-12-31
487,state,jharkhand,2018,885762,0,2018-01-01,2018-03-31
488,state,jharkhand,2018,1230599,0,2018-04-01,2018-06-30
489,state,jharkhand,2018,1532362,0,2018-07-01,2018-09-30
490,state,jharkhand,2018,1913949,0,2018-10-01,2018-12-31
491,state,nagaland,2019,53911,0,2019-01-01,2019-03-31
492,state,nagaland,2019,66891,362497,2019-04-01,2019-06-30
493,state,nagaland,2019,80077,1244022,2019-07-01,2019-09-30
494,state,nagaland,2019,93124,1454551,2019-10-01,2019-12-31
495,state,nagaland,2021,207808,2980581,2021-01-01,2021-03-31
496,state,nagaland,2021,223337,6716892,2021-04-01,2021-06-30
497,state,nagaland,2020,107143,1684520,2020-01-01,2020-03-31
498,state,nagaland,2020,130205,2119279,2020-04-01,2020-06-30
499,state,nagaland,2020,173106,2868642,2020-07-01,2020-09-30
500,state,nagaland,2020,192188,2922121,2020-10-01,2020-12-31
501,state,nagaland,2018,15074,0,2018-01-01,2018-03-31
502,state,nagaland,2018,22436,0,2018-04-01,2018-06-30
503,state,nagaland,2018,32090,0,2018-07-01,2018-09-30
504,state,nagaland,2018,42997,0,2018-10-01,2018-12-31
505,country,india,2019,123432699,0,2019-01-01,2019-03-31
506,country,india,2019,141808226,920413791,2019-04-01,2019-06-30
507,country,india,2019,159293934,3448366103,2019-07-01,2019-09-30
508,country,india,2019,178279085,4301071954,2019-10-01,2019-12-31
509,country,india,2021,284985430,8635508502,2021-01-01,2021-03-31
510,country,india,2021,305258086,9630620549,2021-04-01,2021-06-30
511,country,india,2020,197575164,4768944662,2020-01-01,2020-03-31
512,country,india,2020,218996326,4357634272,2020-04-01,2020-06-30
513,country,india,2020,241169683,5739326491,2020-07-01,2020-09-30
514,country,india,2020,264271293,7461623162,2020-10-01,2020-12-31
515,country,india,2018,46877867,0,2018-01-01,2018-03-31
516,country,india,2018,63648311,0,2018-04-01,2018-06-30
517,country,india,2018,80010952,0,2018-07-01,2018-09-30
518,country,india,2018,102262055,0,2018-10-01,2018-12-31
